Rank,Title,Sales,Series,Platform,Release_Date,Developer,Publisher
1.,Minecraft,"238,000,000",Minecraft,Multi-platform[c],"November 18, 2011","Mojang Studios","Xbox Game Studios"
2.,"Grand Theft Auto V","170,000,000","Grand Theft Auto",Multi-platform,"September 17, 2013","Rockstar North","Rockstar Games"
3.,TetrisÂ (EA),"100,000,000",Tetris,Multi-platform[e],"September 12, 2006","EA Mobile","Electronic Arts"
4.,"Wii Sports","82,900,000",Wii,Wii,"November 19, 2006","Nintendo EAD",Nintendo
5.,"PUBG: Battlegrounds","75,000,000","PUBG Universe",Multi-platform,"December 20, 2017","PUBG Corporation","PUBG Corporation"
6.,"Super Mario Bros.","58,000,000","Super Mario",Multi-platform[f],"September 13, 1985","Nintendo R&D4",Nintendo
7.,"Mario Kart 8Â /Â Deluxe","56,870,000","Mario Kart","Wii UÂ /Â Switch",29.May.14,"Nintendo EAD",Nintendo
8.,"PokÃ©mon Red / Green / BlueÂ /Â Yellow","47,520,000",PokÃ©mon,"Game BoyÂ /Â Color","February 27, 1996","Game Freak",Nintendo
9.,"Red Dead Redemption 2","46,000,000","Red Dead",Multi-platform,"October 26, 2018","Rockstar Studios","Rockstar Games"
10.,Terraria,"44,500,000",None,Multi-platform[c],16.May.11,Re-Logic,"Re-LogicÂ /Â 505 Games"
11.,"Wii FitÂ /Â Plus","43,800,000",Wii,Wii,"December 1, 2007","Nintendo EAD",Nintendo
12.,TetrisÂ (1989)[j],"43,000,000",Tetris,"Game BoyÂ /Â NES","June 14, 1989","Nintendo R&D1",Nintendo
13.,Pac-Man,"42,071,635",Pac-Man,Multi-platform[c],22.May.80,Namco,Namco
14.,"Animal Crossing: New Horizons","40,170,000","Animal Crossing","Nintendo Switch","March 20, 2020","Nintendo EPD",Nintendo
15.,"The Witcher 3Â /Â Hearts of StoneÂ /Â Blood and Wine","40,000,000","The Witcher",Multi-platform,19.May.15,"CD Projekt Red","CD Projekt"
16.,"Mario Kart Wii","37,380,000","Mario Kart",Wii,"April 10, 2008","Nintendo EAD",Nintendo
17.,"Wii Sports Resort","33,140,000",Wii,Wii,"June 25, 2009","Nintendo EAD",Nintendo
18.,"New Super Mario Bros.","30,800,000","Super Mario","Nintendo DS",15.May.06,"Nintendo EAD",Nintendo
19.,"New Super Mario Bros. Wii","30,320,000","Super Mario",Wii,"November 11, 2009","Nintendo EAD",Nintendo
20.,"Call of Duty: Modern Warfare","30,000,000","Call of Duty",Multi-platform,"October 25, 2019","Infinity Ward",Activision
24.,"Super Smash Bros. Ultimate","29,530,000","Super Smash Bros.","Nintendo Switch","December 7, 2018","Bandai Namco StudiosÂ /Â Sora Ltd.",Nintendo
25.,"The Legend of Zelda: Breath of the Wild","29,490,000","The Legend of Zelda","Wii U / Switch","March 3, 2017","Nintendo EPD",Nintendo
27.,"Duck Hunt","28,300,000",None,NES,"April 21, 1984","Nintendo R&D1",Nintendo
28.,"Wii Play","28,020,000",Wii,Wii,"December 2, 2006","Nintendo EAD",Nintendo
29.,"The Walking Dead","28,000,000","The Walking Dead",Multi-platform,"April 24, 2012","Telltale Games","Telltale Games"
30.,"Grand Theft Auto: San Andreas","27,500,000","Grand Theft Auto",Multi-platform,"October 26, 2004","Rockstar North","Rockstar Games"
31.,"Super Mario World","26,662,500","Super Mario",Multi-platform,"November 21, 1990","Nintendo EAD",Nintendo
32.,"Call of Duty: Modern Warfare 3","26,500,000","Call of Duty",Multi-platform,"November 8, 2011","Infinity WardÂ /Â Sledgehammer",Activision
33.,"Call of Duty: Black Ops","26,200,000","Call of Duty",Multi-platform,"November 9, 2010",Treyarch,Activision
34.,"Borderlands 2","27,000,000",Borderlands,Multi-platform,"September 18, 2012","Gearbox Software","2K Games"
35.,"PokÃ©mon Sun / MoonÂ /Â Ultra Sun / Ultra Moon","25,370,000",PokÃ©mon,"Nintendo 3DS","November 18, 2016","Game Freak","NintendoÂ /Â The PokÃ©mon Company"
37.,"Grand Theft Auto IV","25,000,000","Grand Theft Auto",Multi-platform,"April 29, 2008","Rockstar North","Rockstar Games"
38.,"PokÃ©mon Diamond / PearlÂ /Â Platinum","24,730,000",PokÃ©mon,"Nintendo DS","September 28, 2006","Game Freak","NintendoÂ /Â The PokÃ©mon Company"
39.,"Super Mario Bros. 3","24,430,000","Super Mario",Multi-platform,"October 23, 1988","Nintendo EAD",Nintendo
40.,"Super Mario Odyssey","24,400,000","Super Mario","Nintendo Switch","October 27, 2017","Nintendo EPD",Nintendo
41.,"Call of Duty: Black Ops II","24,200,000","Call of Duty",Multi-platform,"November 12, 2012",Treyarch,Activision
42.,"FIFA 18","24,000,000",FIFA,Multi-platform,"September 29, 2017","EA Vancouver","EA Sports"
44.,"Sonic the Hedgehog","23,982,960","Sonic the Hedgehog",Multi-platform[c],"June 23, 1991","Sonic Team",Sega
45.,Nintendogs,"23,960,000",None,"Nintendo DS","April 21, 2005","Nintendo EAD",Nintendo
46.,"Mario Kart DS","23,600,000","Mario Kart","Nintendo DS","November 14, 2005","Nintendo EAD",Nintendo
47.,"God of War","23,000,000","God of War","PlayStation 4Â /Â Windows","April 20, 2018","Santa Monica Studio","Sony Interactive Entertainment"
48.,"Red Dead Redemption","23,000,000","Red Dead","PS3Â /Â Xbox 360",18.May.10,"Rockstar San Diego","Rockstar Games"
49.,"Call of Duty: Modern Warfare 2","22,700,000","Call of Duty",Multi-platform,"November 10, 2009","Infinity Ward",Activision
